camera_frame,camera_time,trial_time
1,9994.3910132,0
2,9994.3951798,0.00417
3,9994.3993464,0.00833
4,9994.403513,0.0125
5,9994.4076796,0.01667
6,9994.4118462,0.02083
7,9994.4160128,0.025
8,9994.4201794,0.02917
9,9994.424346,0.03333
10,9994.4285126,0.0375
11,9994.4326792,0.04167
12,9994.4368458,0.04583
13,9994.4410124,0.05
14,9994.445179,0.05417
15,9994.4493456,0.05833
16,9994.4535122,0.0625
17,9994.4576788,0.06667
18,9994.4618454,0.07083
19,9994.466012,0.075
20,9994.4701786,0.07917
21,9994.4743452,0.08333
22,9994.4785118,0.0875
23,9994.4826784,0.09167
24,9994.486845,0.09583
25,9994.4910116,0.1
26,9994.4951782,0.10417
27,9994.4993448,0.10833
28,9994.5035114,0.1125
29,9994.507678,0.11667
30,9994.5118446,0.12083
31,9994.5160112,0.125
32,9994.5201778,0.12917
33,9994.5243444,0.13333
34,9994.528511,0.1375
35,9994.5326776,0.14167
36,9994.5368442,0.14583
37,9994.5410108,0.15
38,9994.5451774,0.15417
39,9994.549344,0.15833
40,9994.5535106,0.1625
41,9994.5576772,0.16667
42,9994.5618438,0.17083
43,9994.5660104,0.175
44,9994.570177,0.17917
45,9994.5743436,0.18333
46,9994.5785102,0.1875
47,9994.5826768,0.19167
48,9994.5868434,0.19583
49,9994.59101,0.2
50,9994.5951766,0.20417
51,9994.5993432,0.20833
52,9994.6035098,0.2125
53,9994.6076764,0.21667
54,9994.611843,0.22083
55,9994.6160096,0.225
56,9994.6201762,0.22917
57,9994.6243428,0.23333
58,9994.6285094,0.2375
59,9994.632676,0.24167
60,9994.6368426,0.24583
61,9994.6410092,0.25
62,9994.6451758,0.25417
63,9994.6493424,0.25833
64,9994.653509,0.2625
65,9994.6576756,0.26667
66,9994.6618422,0.27083
67,9994.6660088,0.275
68,9994.6701754,0.27917
69,9994.674342,0.28333
70,9994.6785086,0.2875
71,9994.6826752,0.29167
72,9994.6868418,0.29583
73,9994.6910084,0.3
74,9994.695175,0.30417
75,9994.6993416,0.30833
76,9994.7035082,0.3125
77,9994.7076748,0.31667
78,9994.7118414,0.32083
79,9994.716008,0.325
80,9994.7201746,0.32917
81,9994.7243412,0.33333
82,9994.7285078,0.3375
83,9994.7326744,0.34167
84,9994.736841,0.34583
85,9994.7410076,0.35
86,9994.7451742,0.35417
87,9994.7493408,0.35833
88,9994.7535074,0.3625
89,9994.757674,0.36667
90,9994.7618406,0.37083
91,9994.7660072,0.375
92,9994.7701738,0.37917
93,9994.7743404,0.38333
94,9994.778507,0.3875
95,9994.7826736,0.39167
96,9994.7868402,0.39583
97,9994.7910068,0.4
98,9994.7951734,0.40417
99,9994.79934,0.40833
100,9994.8035066,0.4125
101,9994.8076732,0.41667
102,9994.8118398,0.42083
103,9994.8160064,0.425
104,9994.820173,0.42917
105,9994.8243396,0.43333
106,9994.8285062,0.4375
107,9994.8326728,0.44167
108,9994.8368394,0.44583
109,9994.841006,0.45
110,9994.8451726,0.45417
111,9994.8493392,0.45833
112,9994.8535058,0.4625
113,9994.8576724,0.46667
114,9994.861839,0.47083
115,9994.8660056,0.475
116,9994.8701722,0.47917
117,9994.8743388,0.48333
118,9994.8785054,0.4875
119,9994.882672,0.49167
120,9994.8868386,0.49583
121,9994.8910052,0.5
122,9994.8951718,0.50417
123,9994.8993384,0.50833
124,9994.903505,0.5125
125,9994.9076716,0.51667
126,9994.9118382,0.52083
127,9994.9160048,0.525
128,9994.9201714,0.52917
129,9994.924338,0.53333
130,9994.9285046,0.5375
131,9994.9326712,0.54167
132,9994.9368378,0.54583
133,9994.9410044,0.55
134,9994.945171,0.55417
135,9994.9493376,0.55833
136,9994.9535042,0.5625
137,9994.9576708,0.56667
138,9994.9618374,0.57083
139,9994.966004,0.575
140,9994.9701706,0.57917
141,9994.9743372,0.58333
142,9994.9785038,0.5875
143,9994.9826704,0.59167
144,9994.986837,0.59583
145,9994.9910036,0.6
146,9994.9951702,0.60417
147,9994.9993368,0.60833
148,9995.0035034,0.6125
149,9995.00767,0.61667
150,9995.0118366,0.62083
151,9995.0160032,0.625
152,9995.0201698,0.62917
153,9995.0243364,0.63333
154,9995.028503,0.6375
155,9995.0326696,0.64167
156,9995.0368362,0.64583
157,9995.0410028,0.65
158,9995.0451694,0.65417
159,9995.049336,0.65833
160,9995.0535026,0.6625
161,9995.0576692,0.66667
162,9995.0618358,0.67083
163,9995.0660024,0.675
164,9995.070169,0.67917
165,9995.0743356,0.68333
166,9995.0785022,0.6875
167,9995.0826688,0.69167
168,9995.0868354,0.69583
169,9995.091002,0.7
170,9995.0951686,0.70417
171,9995.0993352,0.70833
172,9995.1035018,0.7125
173,9995.1076684,0.71667
174,9995.111835,0.72083
175,9995.1160016,0.725
176,9995.1201682,0.72917
177,9995.1243348,0.73333
178,9995.1285014,0.7375
179,9995.132668,0.74167
180,9995.1368346,0.74583
181,9995.1410012,0.75
182,9995.1451678,0.75417
183,9995.1493344,0.75833
184,9995.153501,0.7625
185,9995.1576676,0.76667
186,9995.1618342,0.77083
187,9995.1660008,0.775
188,9995.1701674,0.77917
189,9995.174334,0.78333
190,9995.1785006,0.7875
191,9995.1826672,0.79167
192,9995.1868338,0.79583
193,9995.1910004,0.8
194,9995.195167,0.80417
195,9995.1993336,0.80833
196,9995.2035002,0.8125
197,9995.2076668,0.81667
198,9995.2118334,0.82083
199,9995.216,0.825
200,9995.2201666,0.82917
201,9995.2243332,0.83333
202,9995.2284998,0.8375
203,9995.2326664,0.84167
204,9995.236833,0.84583
205,9995.2409996,0.85
206,9995.2451662,0.85417
207,9995.2493328,0.85833
208,9995.2534994,0.8625
209,9995.257666,0.86667
210,9995.2618326,0.87083
211,9995.2659992,0.875
212,9995.2701658,0.87917
213,9995.2743324,0.88333
214,9995.278499,0.8875
215,9995.2826656,0.89167
216,9995.2868322,0.89583
217,9995.2909988,0.9
218,9995.2951654,0.90417
219,9995.299332,0.90833
220,9995.3034986,0.9125
221,9995.3076652,0.91667
222,9995.3118318,0.92083
223,9995.3159984,0.925
224,9995.320165,0.92917
225,9995.3243316,0.93333
226,9995.3284982,0.9375
227,9995.3326648,0.94167
228,9995.3368314,0.94583
229,9995.340998,0.95
230,9995.3451646,0.95417
231,9995.3493312,0.95833
232,9995.3534978,0.9625
233,9995.3576644,0.96667
234,9995.361831,0.97083
235,9995.3659976,0.975
236,9995.3701642,0.97917
237,9995.3743308,0.98333
238,9995.3784974,0.9875
239,9995.382664,0.99167
240,9995.3868306,0.99583
241,9995.3909972,1
242,9995.3951638,1.00417
243,9995.3993304,1.00833
244,9995.403497,1.0125
245,9995.4076636,1.01667
246,9995.4118302,1.02083
247,9995.4159968,1.025
248,9995.4201634,1.02917
249,9995.42433,1.03333
250,9995.4284966,1.0375
251,9995.4326632,1.04167
252,9995.4368298,1.04583
253,9995.4409964,1.05
254,9995.445163,1.05417
255,9995.4493296,1.05833
256,9995.4534962,1.0625
257,9995.4576628,1.06667
258,9995.4618294,1.07083
259,9995.465996,1.075
260,9995.4701626,1.07917
261,9995.4743292,1.08333
262,9995.4784958,1.0875
263,9995.4826624,1.09167
264,9995.486829,1.09583
265,9995.4909956,1.1
266,9995.4951622,1.10417
267,9995.4993288,1.10833
268,9995.5034954,1.1125
269,9995.507662,1.11667
270,9995.5118286,1.12083
271,9995.5159952,1.125
272,9995.5201618,1.12917
273,9995.5243284,1.13333
274,9995.528495,1.1375
275,9995.5326616,1.14167
276,9995.5368282,1.14583
277,9995.5409948,1.15
278,9995.5451614,1.15417
279,9995.549328,1.15833
280,9995.5534946,1.1625
281,9995.5576612,1.16667
282,9995.5618278,1.17083
283,9995.5659944,1.175
284,9995.570161,1.17917
285,9995.5743276,1.18333
286,9995.5784942,1.1875
287,9995.5826608,1.19167
288,9995.5868274,1.19583
289,9995.590994,1.2
290,9995.5951606,1.20417
291,9995.5993272,1.20833
292,9995.6034938,1.2125
293,9995.6076604,1.21667
294,9995.611827,1.22083
295,9995.6159936,1.225
296,9995.6201602,1.22917
297,9995.6243268,1.23333
298,9995.6284934,1.2375
299,9995.63266,1.24167
300,9995.6368266,1.24583
301,9995.6409932,1.25
302,9995.6451598,1.25417
303,9995.6493264,1.25833
304,9995.653493,1.2625
305,9995.6576596,1.26667
306,9995.6618262,1.27083
307,9995.6659928,1.275
308,9995.6701594,1.27917
309,9995.674326,1.28333
310,9995.6784926,1.2875
311,9995.6826592,1.29167
312,9995.6868258,1.29583
313,9995.6909924,1.3
314,9995.695159,1.30417
315,9995.6993256,1.30833
316,9995.7034922,1.3125
317,9995.7076588,1.31667
318,9995.7118254,1.32083
319,9995.715992,1.325
320,9995.7201586,1.32917
321,9995.7243252,1.33333
322,9995.7284918,1.3375
323,9995.7326584,1.34167
324,9995.736825,1.34583
325,9995.7409916,1.35
326,9995.7451582,1.35417
327,9995.7493248,1.35833
328,9995.7534914,1.3625
329,9995.757658,1.36667
330,9995.7618246,1.37083
331,9995.7659912,1.375
332,9995.7701578,1.37917
333,9995.7743244,1.38333
334,9995.778491,1.3875
335,9995.7826576,1.39167
336,9995.7868242,1.39583
337,9995.7909908,1.4
338,9995.7951574,1.40417
339,9995.799324,1.40833
340,9995.8034906,1.4125
341,9995.8076572,1.41667
342,9995.8118238,1.42083
343,9995.8159904,1.425
344,9995.820157,1.42917
345,9995.8243236,1.43333
346,9995.8284902,1.4375
347,9995.8326568,1.44167
348,9995.8368234,1.44583
349,9995.84099,1.45
350,9995.8451566,1.45417
351,9995.8493232,1.45833
352,9995.8534898,1.4625
353,9995.8576564,1.46667
354,9995.861823,1.47083
355,9995.8659896,1.475
356,9995.8701562,1.47917
357,9995.8743228,1.48333
358,9995.8784894,1.4875
359,9995.882656,1.49167
360,9995.8868226,1.49583
361,9995.8909892,1.5
362,9995.8951558,1.50417
363,9995.8993224,1.50833
364,9995.903489,1.5125
365,9995.9076556,1.51667
366,9995.9118222,1.52083
367,9995.9159888,1.525
368,9995.9201554,1.52917
369,9995.924322,1.53333
370,9995.9284886,1.5375
371,9995.9326552,1.54167
372,9995.9368218,1.54583
373,9995.9409884,1.55
374,9995.945155,1.55417
375,9995.9493216,1.55833
376,9995.9534882,1.5625
377,9995.9576548,1.56667
378,9995.9618214,1.57083
379,9995.965988,1.575
380,9995.9701546,1.57917
381,9995.9743212,1.58333
382,9995.9784878,1.5875
383,9995.9826544,1.59167
384,9995.986821,1.59583
385,9995.9909876,1.6
386,9995.9951542,1.60417
387,9995.9993208,1.60833
388,9996.0034874,1.6125
389,9996.007654,1.61667
390,9996.0118206,1.62083
391,9996.0159872,1.625
392,9996.0201538,1.62917
393,9996.0243204,1.63333
394,9996.028487,1.6375
395,9996.0326536,1.64167
396,9996.0368202,1.64583
397,9996.0409868,1.65
398,9996.0451534,1.65417
399,9996.04932,1.65833
400,9996.0534866,1.6625
401,9996.0576532,1.66667
402,9996.0618198,1.67083
403,9996.0659864,1.675
404,9996.070153,1.67917
405,9996.0743196,1.68333
406,9996.0784862,1.6875
407,9996.0826528,1.69167
408,9996.0868194,1.69583
409,9996.090986,1.7
410,9996.0951526,1.70417
411,9996.0993192,1.70833
412,9996.1034858,1.7125
413,9996.1076524,1.71667
414,9996.111819,1.72083
415,9996.1159856,1.725
416,9996.1201522,1.72917
417,9996.1243188,1.73333
418,9996.1284854,1.7375
