NO_OF_FRAMES	2384
NO_OF_CAMERAS	17
NO_OF_MARKERS	47
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
DATA_INCLUDED	3D
MARKER_NAMES	R_acr	L_acr	back_T	back_mid	back_B	R_asis	L_asis	R_psis	L_psis	R_ilium	L_ilium	R_thigh_TA	R_thigh_TP	R_thigh_BA	R_thigh_BP	R_kneejoint_LA	R_tibtub	R_shank_TA	R_shank_TP	R_shank_BA	R_shank_BP	R_fibula	R_ankle_LA	R_heel_T	R_heel_LA	R_heel_B	R_latfoot	R_met_5	R_toe	L_thigh_TA	L_thigh_TP	L_thigh_BA	L_thigh_BP	L_kneejoint_LA	L_tibtub	L_shank_TA	L_shank_TP	L_shank_BA	L_shank_BP	L_fibula	L_ankle_LA	L_heel_T	L_heel_LA	L_heel_B	L_latfoot	L_met_5	L_toe
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Camera Time	R_acr X	R_acr Y	R_acr Z	L_acr X	L_acr Y	L_acr Z	back_T X	back_T Y	back_T Z	back_mid X	back_mid Y	back_mid Z	back_B X	back_B Y	back_B Z	R_asis X	R_asis Y	R_asis Z	L_asis X	L_asis Y	L_asis Z	R_psis X	R_psis Y	R_psis Z	L_psis X	L_psis Y	L_psis Z	R_ilium X	R_ilium Y	R_ilium Z	L_ilium X	L_ilium Y	L_ilium Z	R_thigh_TA X	R_thigh_TA Y	R_thigh_TA Z	R_thigh_TP X	R_thigh_TP Y	R_thigh_TP Z	R_thigh_BA X	R_thigh_BA Y	R_thigh_BA Z	R_thigh_BP X	R_thigh_BP Y	R_thigh_BP Z	R_kneejoint_LA X	R_kneejoint_LA Y	R_kneejoint_LA Z	R_tibtub X	R_tibtub Y	R_tibtub Z	R_shank_TA X	R_shank_TA Y	R_shank_TA Z	R_shank_TP X	R_shank_TP Y	R_shank_TP Z	R_shank_BA X	R_shank_BA Y	R_shank_BA Z	R_shank_BP X	R_shank_BP Y	R_shank_BP Z	R_fibula X	R_fibula Y	R_fibula Z	R_ankle_LA X	R_ankle_LA Y	R_ankle_LA Z	R_heel_T X	R_heel_T Y	R_heel_T Z	R_heel_LA X	R_heel_LA Y	R_heel_LA Z	R_heel_B X	R_heel_B Y	R_heel_B Z	R_latfoot X	R_latfoot Y	R_latfoot Z	R_met_5 X	R_met_5 Y	R_met_5 Z	R_toe X	R_toe Y	R_toe Z	L_thigh_TA X	L_thigh_TA Y	L_thigh_TA Z	L_thigh_TP X	L_thigh_TP Y	L_thigh_TP Z	L_thigh_BA X	L_thigh_BA Y	L_thigh_BA Z	L_thigh_BP X	L_thigh_BP Y	L_thigh_BP Z	L_kneejoint_LA X	L_kneejoint_LA Y	L_kneejoint_LA Z	L_tibtub X	L_tibtub Y	L_tibtub Z	L_shank_TA X	L_shank_TA Y	L_shank_TA Z	L_shank_TP X	L_shank_TP Y	L_shank_TP Z	L_shank_BA X	L_shank_BA Y	L_shank_BA Z	L_shank_BP X	L_shank_BP Y	L_shank_BP Z	L_fibula X	L_fibula Y	L_fibula Z	L_ankle_LA X	L_ankle_LA Y	L_ankle_LA Z	L_heel_T X	L_heel_T Y	L_heel_T Z	L_heel_LA X	L_heel_LA Y	L_heel_LA Z	L_heel_B X	L_heel_B Y	L_heel_B Z	L_latfoot X	L_latfoot Y	L_latfoot Z	L_met_5 X	L_met_5 Y	L_met_5 Z	L_toe X	L_toe Y	L_toe Z	
1	0.00000	9994.391013200	791.145	893.128	1650.598	478.837	842.575	1632.546	673.677	761.529	1378.817	643.998	769.900	1312.845	709.289	787.273	1279.737	776.926	982.724	1095.033	536.072	1002.639	1113.100	687.201	792.337	1156.074	589.503	795.673	1147.789	751.959	781.981	1126.232	531.118	805.997	1110.378	786.315	855.371	756.320	792.146	782.604	775.828	768.267	842.595	689.039	777.300	766.054	709.609	751.904	729.547	587.030	707.567	719.417	503.518	759.459	623.006	493.326	761.150	575.998	549.654	753.252	562.326	462.222	754.319	533.430	516.249	721.767	419.951	418.593	712.676	329.479	358.859	672.138	302.367	410.535	695.856	257.808	387.795	655.971	254.226	408.145	717.528	295.651	271.421	722.181	269.797	216.887	661.836	350.932	132.863	499.716	1102.399	806.255	479.972	1035.781	774.684	510.292	1126.413	740.916	495.656	1057.601	707.349	527.390	1130.585	595.172	578.027	1187.147	557.877	513.346	1163.587	465.453	518.004	1097.253	440.800	523.622	1180.003	402.401	524.830	1116.414	391.382	554.684	1199.266	254.299	564.894	1231.925	156.616	598.546	1180.805	118.605	570.630	1214.922	86.339	602.828	1193.510	69.540	561.318	1306.187	130.456	557.455	1380.779	132.346	629.128	1445.950	222.855
2	0.00417	9994.395179800	791.022	893.226	1649.359	478.078	843.463	1631.421	672.726	760.947	1377.999	643.411	769.350	1311.895	708.840	786.422	1279.009	776.893	983.464	1094.701	536.177	1002.486	1112.561	688.160	792.149	1154.229	590.229	795.647	1146.128	752.890	782.851	1124.349	531.857	805.816	1108.690	786.779	859.973	754.765	792.978	787.179	773.426	768.828	847.878	687.070	778.211	771.118	706.714	752.840	735.936	584.071	708.392	724.346	500.819	760.294	627.241	493.239	761.880	581.851	550.901	754.007	565.582	463.971	754.889	538.244	518.749	722.139	421.955	425.010	713.318	329.569	367.831	673.925	303.261	419.866	695.863	258.965	398.967	655.697	256.638	419.193	718.046	293.292	281.707	722.754	265.980	227.910	662.067	345.095	141.803	499.258	1100.197	803.682	478.784	1033.542	772.616	509.240	1123.901	738.140	493.787	1054.888	705.042	527.575	1127.472	592.677	578.377	1184.019	555.864	513.841	1160.613	462.799	519.126	1094.390	438.065	525.029	1177.691	399.064	524.805	1113.553	388.773	555.707	1197.304	252.029	566.058	1230.836	154.620	599.443	1179.784	116.325	571.829	1214.356	84.015	603.781	1192.639	67.331	562.942	1305.354	128.762	559.591	1379.879	130.861	631.518	1444.396	221.869
3	0.00833	9994.399346400	791.085	893.337	1647.979	476.908	844.491	1629.912	671.936	760.436	1376.881	642.856	768.787	1310.666	708.561	785.533	1278.045	776.814	984.179	1094.240	536.190	1002.108	1111.767	688.374	793.226	1152.082	591.002	795.683	1144.455	753.791	783.835	1121.984	532.752	805.584	1107.007	786.930	864.427	752.528	793.240	791.372	770.324	769.604	853.176	684.901	779.071	776.284	703.656	754.301	742.561	580.850	709.613	729.685	497.782	761.173	631.798	492.848	762.906	587.536	552.209	754.810	569.327	465.478	755.847	543.626	521.058	722.686	424.517	431.490	714.005	330.434	376.739	672.721	306.574	430.199	696.453	260.897	409.464	654.531	259.916	430.556	718.643	291.718	292.014	723.423	262.836	239.046	663.495	339.295	150.370	499.061	1098.673	801.332	477.934	1031.938	770.597	508.804	1121.907	735.441	492.748	1052.928	702.881	527.798	1124.525	590.243	578.744	1180.915	553.872	514.266	1157.315	460.007	520.095	1091.155	435.329	525.710	1174.505	396.309	526.063	1110.411	385.982	556.799	1194.326	249.490	567.359	1228.136	152.165	600.801	1177.124	113.981	573.555	1211.743	81.470	605.630	1189.834	65.137	564.435	1302.721	126.253	561.183	1377.247	128.436	632.738	1441.747	219.694
4	0.01250	9994.403513000	791.082	893.487	1646.317	475.938	845.502	1628.128	671.298	759.845	1375.710	642.418	768.542	1309.549	708.360	784.644	1276.954	776.702	984.867	1093.460	536.235	1001.352	1110.560	689.335	793.373	1149.725	591.851	795.498	1142.600	754.763	784.969	1119.308	533.601	805.195	1105.402	787.726	869.255	750.524	793.915	795.841	767.239	770.528	858.686	682.566	780.195	781.666	700.572	754.415	749.481	577.387	710.804	735.639	494.381	762.122	636.922	492.317	762.990	594.765	552.858	755.602	573.632	466.845	756.511	549.622	523.059	723.101	427.850	437.592	714.210	332.072	385.744	672.847	309.862	439.860	695.754	263.571	420.709	655.861	262.497	441.439	719.346	290.906	302.389	724.199	260.467	250.334	665.003	334.443	159.016	499.240	1097.752	799.075	477.795	1030.916	768.837	509.283	1120.506	733.116	492.832	1051.352	700.917	528.052	1121.584	587.658	579.038	1177.890	551.722	514.650	1153.764	457.141	521.729	1088.120	431.574	526.587	1170.959	393.518	528.468	1106.949	383.045	557.777	1190.666	246.868	568.741	1223.784	149.139	602.694	1173.087	111.481	575.587	1207.446	78.525	607.945	1184.708	62.806	566.910	1298.413	122.031	562.285	1372.858	124.954	632.839	1438.101	216.413
5	0.01667	9994.407679600	790.770	893.583	1644.821	475.498	846.278	1625.876	670.553	759.386	1374.253	641.869	767.952	1307.764	708.029	783.863	1275.637	776.574	985.421	1092.431	535.771	1000.904	1109.776	690.342	793.449	1147.112	592.587	795.189	1140.594	755.556	786.124	1116.331	533.648	804.465	1103.234	788.422	873.936	748.563	794.594	800.284	764.330	771.593	864.327	680.046	781.002	787.008	697.237	755.721	756.779	573.765	712.076	741.829	491.050	763.267	642.229	491.780	763.645	601.966	553.524	756.062	578.282	468.701	757.048	555.900	524.959	723.586	431.883	443.615	714.734	334.515	394.606	672.788	314.158	449.194	695.664	267.242	431.800	655.644	266.880	452.196	720.169	290.944	312.840	725.316	258.995	261.715	666.822	330.396	168.246	499.727	1096.986	797.073	478.551	1029.951	767.250	510.133	1119.180	731.005	493.604	1049.960	699.222	528.283	1118.639	584.773	579.165	1174.858	549.240	515.389	1150.108	453.910	522.566	1084.285	428.787	527.455	1166.882	390.255	529.505	1102.986	379.988	559.234	1185.558	243.541	570.269	1217.996	145.605	605.063	1167.467	108.513	577.782	1201.427	75.032	610.715	1179.002	59.654	567.998	1292.564	118.179	562.983	1366.783	120.572	631.633	1433.252	212.607
6	0.02083	9994.411846200	790.951	893.712	1642.791	475.030	847.640	1623.066	670.406	759.132	1372.987	641.438	767.260	1306.006	708.033	782.907	1274.178	776.323	986.080	1091.299	535.433	1000.095	1108.582	691.262	793.543	1144.402	593.301	794.755	1138.495	756.276	787.265	1112.992	534.184	803.760	1101.402	789.119	878.657	745.849	795.008	804.749	760.654	772.799	870.052	677.341	781.896	792.364	693.245	758.063	764.365	569.779	713.655	748.412	487.186	764.481	648.131	491.017	764.662	609.510	553.819	757.126	583.509	469.580	757.914	562.656	526.479	724.202	436.436	449.061	715.226	337.719	403.087	672.439	319.252	458.227	695.322	271.858	442.467	655.065	272.290	462.493	720.982	291.665	323.168	726.535	258.360	273.065	669.194	326.983	176.705	500.335	1096.387	795.536	480.057	1028.923	765.843	511.465	1118.105	729.339	495.931	1048.505	697.806	528.710	1115.782	581.996	579.486	1172.223	546.596	516.068	1146.157	450.521	523.416	1080.109	425.966	528.303	1162.369	386.734	529.207	1098.270	377.474	560.941	1179.425	239.726	572.078	1210.939	141.635	607.710	1160.433	105.125	580.541	1194.059	71.272	613.759	1171.890	56.369	568.938	1285.157	113.932	563.153	1359.381	115.825	630.221	1427.151	208.420
7	0.02500	9994.416012800	791.154	893.837	1640.531	474.281	848.323	1620.328	670.043	758.378	1371.216	641.352	766.502	1304.204	708.050	781.878	1272.537	776.037	986.619	1089.994	535.068	999.141	1107.179	692.175	793.513	1141.445	594.099	794.243	1136.268	757.033	788.442	1109.396	534.727	802.964	1099.463	790.038	883.431	743.240	795.688	809.315	757.129	774.078	875.815	674.628	782.943	797.970	689.447	759.512	772.031	565.848	715.261	755.260	483.230	765.653	654.360	490.284	765.702	617.398	554.215	758.162	589.110	470.603	758.707	569.924	528.130	724.690	441.741	454.611	715.649	341.707	411.399	672.056	325.091	467.002	694.950	277.148	452.919	654.394	278.387	472.451	721.834	293.313	333.301	727.928	258.375	284.266	671.903	324.447	185.250	500.994	1095.746	794.083	482.057	1027.895	764.495	512.860	1117.285	727.904	498.562	1047.409	696.600	529.182	1113.064	579.167	579.553	1169.620	543.469	516.974	1142.082	447.136	524.217	1075.645	423.530	529.406	1157.456	383.211	530.361	1093.139	374.714	562.376	1172.628	236.078	573.640	1202.599	137.444	610.417	1152.337	101.622	583.046	1185.625	66.917	616.611	1163.532	52.802	568.902	1276.330	109.842	562.829	1350.674	110.630	628.147	1419.795	203.429
8	0.02917	9994.420179400	791.487	893.967	1637.945	473.517	848.985	1617.365	669.773	757.603	1369.308	641.383	765.689	1302.074	708.185	780.808	1270.736	775.646	987.129	1088.360	534.563	998.123	1105.633	693.073	793.424	1138.310	594.911	793.746	1133.938	757.680	789.544	1105.631	534.946	801.908	1097.214	791.135	888.332	740.642	796.217	813.841	753.284	775.593	881.660	671.789	784.088	803.574	685.423	760.576	779.740	561.696	717.279	762.191	479.472	766.944	660.833	489.470	766.666	625.634	554.412	759.389	595.121	471.411	759.510	577.539	529.474	725.191	447.580	459.723	716.330	346.173	419.779	671.448	331.746	475.311	694.214	283.158	462.789	653.678	285.135	481.913	722.871	295.751	343.197	729.512	259.476	295.359	674.998	322.683	193.689	501.829	1095.029	792.538	484.246	1027.003	762.996	514.139	1116.630	726.518	501.422	1046.449	695.277	529.681	1110.505	576.444	579.492	1167.237	539.934	517.923	1137.710	443.768	525.345	1070.986	421.170	530.414	1152.154	379.619	531.542	1087.730	372.111	563.732	1164.877	232.202	575.089	1193.090	133.097	612.802	1143.052	98.212	585.240	1175.245	63.025	619.348	1153.860	49.099	569.463	1266.415	104.976	562.166	1340.763	105.258	625.822	1411.323	197.777
9	0.03333	9994.424346000	791.823	894.008	1635.269	472.696	849.674	1614.119	669.563	756.794	1367.207	641.372	764.819	1299.819	708.211	779.961	1268.750	775.189	987.581	1086.758	533.988	997.042	1103.977	694.007	793.312	1135.140	595.807	793.114	1131.540	758.274	790.549	1101.716	535.483	800.704	1094.972	792.196	893.125	737.847	796.917	818.393	749.357	777.134	887.617	668.698	785.321	809.205	681.324	762.355	787.653	557.598	719.235	769.543	475.616	768.356	667.651	488.619	767.374	634.125	554.368	760.650	601.508	472.276	760.283	585.475	530.704	725.828	453.800	464.406	716.763	351.486	427.694	670.806	339.019	483.058	693.498	289.886	472.337	652.921	292.384	490.787	723.936	298.928	352.852	731.209	261.344	306.101	678.273	321.741	201.868	502.559	1094.531	791.108	486.332	1026.179	761.432	515.405	1116.185	725.199	504.096	1045.836	693.936	530.272	1108.039	573.612	579.820	1164.893	536.398	518.809	1133.149	440.388	526.515	1066.030	419.010	531.599	1146.597	375.919	532.910	1081.957	369.566	564.967	1156.414	228.414	576.376	1182.553	128.838	615.087	1132.453	95.334	586.692	1163.385	60.066	621.160	1142.460	46.245	569.674	1255.147	100.136	561.035	1329.222	99.371	623.687	1401.834	191.117
10	0.03750	9994.428512600	792.210	894.026	1632.363	471.811	850.263	1610.569	670.039	755.680	1365.410	641.382	763.905	1297.510	707.609	779.954	1266.453	774.698	987.977	1084.704	533.352	995.948	1102.142	694.891	793.099	1131.739	596.709	792.442	1128.880	758.854	791.475	1097.694	536.603	799.931	1092.778	793.348	897.974	735.016	797.667	822.954	745.260	778.815	893.571	665.730	786.569	814.947	677.058	764.516	795.731	553.607	721.306	776.921	471.532	769.861	674.809	487.478	768.086	642.957	554.163	762.031	608.284	472.844	761.062	593.725	531.727	726.513	460.612	468.843	717.133	357.483	435.059	670.141	346.803	490.243	692.758	297.352	481.260	651.955	300.548	499.000	725.067	302.943	362.112	732.856	263.957	316.618	682.023	321.626	209.776	503.339	1093.958	789.504	488.347	1025.382	759.809	516.621	1115.823	723.736	506.567	1045.304	692.434	530.892	1105.948	570.835	580.124	1162.549	532.531	519.772	1128.324	436.914	527.865	1060.837	417.035	532.713	1140.658	372.115	534.171	1075.758	367.286	566.289	1147.296	224.694	577.367	1171.214	125.117	617.413	1120.781	95.157	587.957	1149.534	58.654	622.577	1128.639	45.445	569.822	1242.323	95.702	559.545	1315.831	92.912	622.027	1391.573	182.525
