NO_OF_SAMPLES	23840
FREQUENCY	2400
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
FIRST_SAMPLE	1
DESCRIPTION	Force data in world (lab) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Left
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1638.300049
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	482.600006
FORCE_PLATE_CORNER_NEGX_POSY_Y	1638.300049
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	482.600006
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-241.300003
FORCE_PLATE_OFFSET_Y	819.150024
FORCE_PLATE_OFFSET_Z	15.875000
FORCE_PLATE_LENGTH	1638.300049
FORCE_PLATE_WIDTH	482.600006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-4.959106	-2.059937	5.950928	0.610352	1.869202	5.554199	241.300003	819.150024	0.000000	
2	0.00042	-4.806519	-2.212524	3.204346	1.098633	2.250671	5.554199	241.300003	819.150024	0.000000	
3	0.00083	-4.348755	-2.517700	0.152588	5.981445	2.937317	5.554199	241.300003	819.150024	0.000000	
4	0.00125	-4.653931	-2.059937	0.152588	5.249023	2.937317	5.554199	241.300003	819.150024	0.000000	
5	0.00167	-1.144409	2.212524	0.457764	5.249023	1.716614	2.014160	241.300003	819.150024	0.000000	
6	0.00208	-1.602173	2.670288	1.068115	5.249023	1.869202	2.014160	241.300003	819.150024	0.000000	
7	0.00250	-0.381470	5.416870	2.288818	0.854492	0.953674	2.136230	241.300003	819.150024	0.000000	
8	0.00292	0.228882	6.179810	0.762939	-2.319336	0.495911	2.258301	241.300003	819.150024	0.000000	
9	0.00333	-0.381470	5.874634	1.373291	-2.563477	0.648499	2.380371	241.300003	819.150024	0.000000	
10	0.00375	-0.534058	1.449585	-3.204346	-11.840820	1.029968	2.990723	241.300003	819.150024	0.000000	
11	0.00417	-0.534058	0.991821	-2.593994	-12.817383	1.106262	3.723145	241.300003	819.150024	0.000000	
12	0.00458	-5.111694	-5.416870	-8.087158	-20.874023	2.937317	4.089355	241.300003	819.150024	0.000000	
13	0.00500	-5.416870	-5.722046	-8.392334	-22.338867	3.242493	3.967285	241.300003	819.150024	0.000000	
14	0.00542	-7.247925	-5.874634	-8.392334	-21.606445	3.623962	4.089355	241.300003	819.150024	0.000000	
15	0.00583	-9.384155	-4.959106	-8.392334	-20.629883	4.539490	3.845215	241.300003	819.150024	0.000000	
16	0.00625	-9.689331	-4.653931	-7.476807	-20.141602	4.539490	3.601074	241.300003	819.150024	0.000000	
17	0.00667	-9.231567	5.111694	0.457764	-8.422852	2.937317	3.601074	241.300003	819.150024	0.000000	
18	0.00708	-9.078979	5.416870	0.762939	-7.690430	2.555847	3.723145	241.300003	819.150024	0.000000	
19	0.00750	-4.959106	12.588501	5.035400	4.516602	0.495911	2.380371	241.300003	819.150024	0.000000	
20	0.00792	-2.212524	16.708851	8.087158	11.596680	-0.953674	1.647949	241.300003	819.150024	0.000000	
21	0.00833	-2.670288	16.403675	6.866455	11.596680	-0.801086	1.647949	241.300003	819.150024	0.000000	
22	0.00875	1.144409	17.166615	10.223389	17.700195	-1.640320	1.647949	241.300003	819.150024	0.000000	
23	0.00917	1.602173	17.319202	10.223389	17.944336	-1.945496	1.647949	241.300003	819.150024	0.000000	
24	0.00958	-2.517700	8.468628	7.476807	11.108398	0.648499	4.943848	241.300003	819.150024	0.000000	
25	0.01000	-2.517700	7.400513	6.561279	9.887695	1.029968	5.798340	241.300003	819.150024	0.000000	
26	0.01042	-3.585815	4.043579	2.288818	4.760742	1.945496	6.408691	241.300003	819.150024	0.000000	
27	0.01083	-5.874634	-3.890991	-1.373291	-7.446289	4.005432	7.995605	241.300003	819.150024	0.000000	
28	0.01125	-5.874634	-4.043579	-1.678467	-6.958008	4.081726	8.239746	241.300003	819.150024	0.000000	
29	0.01167	-3.280640	-7.705688	-8.697510	-16.967773	4.158020	5.187988	241.300003	819.150024	0.000000	
