NO_OF_SAMPLES	23840
FREQUENCY	2400
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
FIRST_SAMPLE	1
DESCRIPTION	Force data in world (lab) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Right
FORCE_PLATE_CORNER_POSX_POSY_X	492.125005
FORCE_PLATE_CORNER_POSX_POSY_Y	1638.300061
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	974.724948
FORCE_PLATE_CORNER_NEGX_POSY_Y	1638.300061
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	974.724948
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	492.125005
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	241.300000
FORCE_PLATE_OFFSET_Y	819.150000
FORCE_PLATE_OFFSET_Z	15.875000
FORCE_PLATE_LENGTH	1638.300000
FORCE_PLATE_WIDTH	482.600000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-2.365112	9.384155	15.106201	26.001740	1.716614	6.652832	733.424976	819.150031	0.000000	
2	0.00042	-2.365112	9.841919	15.716553	26.734161	1.869202	6.286621	733.424976	819.150031	0.000000	
3	0.00083	-3.890991	13.961792	19.989014	33.325958	4.539490	5.065918	733.424976	819.150031	0.000000	
4	0.00125	-4.196167	13.961792	20.294189	33.325958	4.463196	4.943848	733.424976	819.150031	0.000000	
5	0.00167	0.076294	16.556263	21.820068	34.302521	3.623962	1.770020	733.424976	819.150031	0.000000	
6	0.00208	0.686646	17.014027	21.820068	35.034943	3.852844	1.403809	733.424976	819.150031	0.000000	
7	0.00250	1.296997	15.945911	20.294189	33.081818	3.395081	1.159668	733.424976	819.150031	0.000000	
8	0.00292	1.449585	14.572144	18.463135	29.419708	3.013611	0.427246	733.424976	819.150031	0.000000	
9	0.00333	1.602173	14.877319	18.463135	28.931427	3.013611	0.305176	733.424976	819.150031	0.000000	
10	0.00375	-0.839233	10.452271	14.190674	24.536133	2.098083	1.281738	733.424976	819.150031	0.000000	
11	0.00417	-1.296997	9.689331	13.580322	24.536133	2.174377	1.525879	733.424976	819.150031	0.000000	
12	0.00458	-1.907349	8.163452	9.307861	23.071289	0.419617	2.624512	733.424976	819.150031	0.000000	
13	0.00500	-2.212524	8.010864	9.307861	22.583008	0.038147	3.234863	733.424976	819.150031	0.000000	
14	0.00542	-2.059937	7.858276	10.528564	23.803711	0.038147	4.089355	733.424976	819.150031	0.000000	
15	0.00583	-3.585815	8.010864	10.833740	28.199005	0.038147	7.629395	733.424976	819.150031	0.000000	
16	0.00625	-2.670288	8.468628	10.528564	28.443146	0.038147	7.141113	733.424976	819.150031	0.000000	
17	0.00667	-6.027222	9.536743	14.495850	32.105255	3.089905	9.338379	733.424976	819.150031	0.000000	
18	0.00708	-6.484985	9.536743	14.801025	33.081818	3.547668	9.338379	733.424976	819.150031	0.000000	
19	0.00750	-5.416870	9.078979	17.242432	33.570099	3.929138	7.873535	733.424976	819.150031	0.000000	
20	0.00792	-3.585815	7.858276	21.514893	35.767365	4.234314	7.141113	733.424976	819.150031	0.000000	
21	0.00833	-3.738403	8.010864	19.989014	35.767365	4.005432	7.141113	733.424976	819.150031	0.000000	
22	0.00875	0.686646	7.705688	24.261475	36.743927	2.784729	3.723145	733.424976	819.150031	0.000000	
23	0.00917	0.991821	7.858276	24.566650	36.743927	2.555847	3.723145	733.424976	819.150031	0.000000	
24	0.00958	0.381470	9.384155	23.040771	36.011505	2.861023	4.455566	733.424976	819.150031	0.000000	
25	0.01000	-0.686646	9.994507	23.040771	35.279083	3.166199	4.211426	733.424976	819.150031	0.000000	
26	0.01042	-0.686646	9.994507	22.430420	34.790802	3.089905	4.821777	733.424976	819.150031	0.000000	
27	0.01083	-4.806519	10.147095	16.937256	29.907990	3.471375	6.164551	733.424976	819.150031	0.000000	
28	0.01125	-3.433228	10.757446	16.937256	29.175568	3.547668	5.798340	733.424976	819.150031	0.000000	
29	0.01167	-3.585815	9.384155	11.749268	23.559570	2.403259	5.432129	733.424976	819.150031	0.000000	
30	0.01208	-3.585815	9.841919	11.444092	23.315430	2.555847	5.432129	733.424976	819.150031	0.000000	
31	0.01250	-2.365112	8.316040	9.918213	21.362305	1.411438	4.943848	733.424976	819.150031	0.000000	
32	0.01292	-1.602173	7.400513	7.171631	17.700195	0.495911	3.967285	733.424976	819.150031	0.000000	
33	0.01333	-2.059937	7.705688	7.171631	18.920898	0.877380	4.089355	733.424976	819.150031	0.000000	
34	0.01375	-0.076294	8.621216	11.749268	26.245880	0.648499	2.624512	733.424976	819.150031	0.000000	
35	0.01417	-0.228882	8.621216	11.444092	26.978302	0.572205	2.502441	733.424976	819.150031	0.000000	
36	0.01458	1.754761	10.604858	16.937256	34.790802	1.335144	-0.305176	733.424976	819.150031	0.000000	
37	0.01500	1.907349	10.757446	17.547607	38.697052	1.716614	-1.770020	733.424976	819.150031	0.000000	
38	0.01542	1.602173	10.910034	17.852783	39.185333	2.098083	-1.770020	733.424976	819.150031	0.000000	
39	0.01583	1.907349	10.757446	19.073486	36.499786	2.937317	-1.892090	733.424976	819.150031	0.000000	
40	0.01625	2.059937	10.452271	19.378662	37.720490	2.937317	-1.892090	733.424976	819.150031	0.000000	
41	0.01667	-0.686646	7.400513	19.683838	31.128693	3.013611	3.845215	733.424976	819.150031	0.000000	
42	0.01708	-0.534058	6.942749	18.768311	29.663849	2.708435	4.333496	733.424976	819.150031	0.000000	
43	0.01750	-1.296997	6.790161	17.547607	29.907990	2.861023	6.896973	733.424976	819.150031	0.000000	
44	0.01792	-1.449585	5.111694	17.547607	27.710724	2.784729	10.559082	733.424976	819.150031	0.000000	
45	0.01833	-1.754761	4.959106	18.768311	27.710724	2.784729	10.681152	733.424976	819.150031	0.000000	
46	0.01875	-5.569458	6.332397	16.937256	30.152130	4.005432	12.878799	733.424976	819.150031	0.000000	
47	0.01917	-5.569458	6.332397	16.632080	30.640411	3.776550	13.122940	733.424976	819.150031	0.000000	
48	0.01958	-6.790161	8.621216	13.275146	30.152130	3.547668	10.559082	733.424976	819.150031	0.000000	
49	0.02000	-7.095337	9.384155	13.275146	30.640411	3.471375	9.460449	733.424976	819.150031	0.000000	
50	0.02042	-6.332397	9.231567	12.359619	29.663849	3.166199	9.338379	733.424976	819.150031	0.000000	
51	0.02083	-1.296997	11.215210	15.716553	30.396271	0.648499	2.746582	733.424976	819.150031	0.000000	
52	0.02125	-1.296997	11.062622	14.495850	30.884552	0.724792	2.868652	733.424976	819.150031	0.000000	
53	0.02167	1.296997	12.130737	17.242432	34.546661	0.038147	0.915527	733.424976	819.150031	0.000000	
54	0.02208	1.602173	12.130737	17.242432	36.011505	0.267029	0.915527	733.424976	819.150031	0.000000	
55	0.02250	-1.754761	11.825562	16.632080	34.058380	1.945496	2.014160	733.424976	819.150031	0.000000	
56	0.02292	-2.975464	10.604858	15.716553	32.837677	3.471375	3.845215	733.424976	819.150031	0.000000	
57	0.02333	-3.890991	10.604858	16.021729	32.349396	3.929138	3.967285	733.424976	819.150031	0.000000	
58	0.02375	-3.280640	6.942749	12.969971	24.780273	4.158020	3.601074	733.424976	819.150031	0.000000	
59	0.02417	-3.738403	6.332397	13.580322	25.757599	4.310608	3.723145	733.424976	819.150031	0.000000	
60	0.02458	2.517700	5.569458	13.580322	21.118164	1.640320	1.403809	733.424976	819.150031	0.000000	
61	0.02500	3.585815	4.653931	13.275146	18.188477	0.877380	0.305176	733.424976	819.150031	0.000000	
62	0.02542	4.348755	4.806519	12.664795	19.165039	0.572205	0.427246	733.424976	819.150031	0.000000	
63	0.02583	4.806519	8.010864	11.138916	23.559570	-0.038147	0.671387	733.424976	819.150031	0.000000	
64	0.02625	4.653931	8.468628	10.528564	23.071289	0.114441	1.281738	733.424976	819.150031	0.000000	
65	0.02667	2.212524	12.893677	8.697510	27.466583	0.801086	1.770020	733.424976	819.150031	0.000000	
66	0.02708	2.059937	13.961792	9.613037	27.954865	0.648499	2.136230	733.424976	819.150031	0.000000	
67	0.02750	2.059937	14.572144	12.664795	30.152130	1.335144	1.770020	733.424976	819.150031	0.000000	
